Sentiment Entity	Freq	Synonym	leave/ remain	Politician
 Tory Party	32	Conservative Party		
 BMW	31	BMW		
 Bournemouth	31	 Bournemouth		
 Catherine Mann	31	 Catherine Mann		False
 Essex	31	 Essex		
 FBI	31	 FBI		
 GMB	31	 GMB		
 Guardian	31	The Guardian		
 Harriet Harman	31	 Harriet Harman	remain	True
 Hitler	31			
 Masahiro Ichikawa	31	 Masahiro Ichikawa		False
 Matthew Elliott	31	 Matthew Elliott	leave	False
 Muhammad Ali	31	 Muhammad Ali		False
 Republican Party	31	Republicans		
 Sarah Wollaston	31	 Sarah Wollaston	remain	True
 Sumitomo Mitsui Asset Management.	31	Sumitomo Mitsui Banking 		
 The Telegraph	31	 The Telegraph		
 Wolfgang Schaeuble	31	 Wolfgang Schaeuble		
 Amber Rudd	30	 Amber Rudd	remain	True
 ANZ	30	 ANZ		
 Bank of America	30	Bank of America		
 Baroness Warsi	30	 Baroness Warsi		True
 Bernie Sanders	30	 Bernie Sanders		
 Boston	30	 Boston		
 Bunds	30			
 Clinton	30	Hilary Clinton		
 Cologne central station	30	Cologne		
 Investec	30			
 Korea	30	 Korea		
 Markets Editor	30			
 Matteo Salvini	30	 Matteo Salvini		
 Michael McCarthy	30	 Michael McCarthy		
 Nissan	30	 Nissan		
 parliament	30			
 Portugal	30	 Portugal		
 Scottish National Party	30	SNP		
 Venezuela	30	Venezuela		
 Wall Street Journal	30	Wall Street Journal		
 Alistair Darling	29	 Alistair Darling	remain	True
 Asia Pacific	29	 Asia Pacific		
 Corbyn	29	Jeremy Corbyn		
 Douglas Carswell	29	Douglas Carswell	leave	True
 DS Economics	29	 DS Economics		
 Dubai	29	 Dubai		
 Finance minister	29			
 John Mann	29	John Mann	leave	True
 Liam Fox	29	 Liam Fox	leave	True
 Martin Boon	29	 Martin Boon		
 North Africa	29	Africa		
 Paddy Power	29	 Paddy Power		
 Scapegoating	29			
 telecoms	29			
 Andrea Leadsom	28	 Andrea Leadsom	leave	True
 BEIJING	28	Beijing		
 Bill Gross	28	 Bill Gross		False
 BoE	28	Bank of England		
 Chris Hayes	28	 Chris Hayes		False
 developer	28			
 Doonbeg	28	 Doonbeg		
 government	28			
 Hang Seng	28	 Hang Seng		
 Hiroaki Nakanishi	28	Hiroaki Nakanishi		False
 India.	28	India		
 Keira Knightley	28	 Keira Knightley		
 Mike Ashley	28	 Mike Ashley		False
 Press Association Ltd.	28	Press Association		
 Smith &amp	28			
 Tesco	28	Tesco		
 The Wall Street Journal	28	Wall Street Journal		
 Theresa May	28	Theresa May		
 TORONTO	28	Toronto		
 Union	28			
 wade	28			
 Whitehorse Yukon Poloz	28	 Stephen Poloz 		
 chief strategist	27			
 Ed Balls	27	Edward Balls		True
 Federal Reserve.	27	Fed		
 Glasgow	27	 Glasgow		
 IG Group	27	 IG Group		
 Indonesia	27	 Indonesia		
 Lehman Brothers	27	 Lehman Brothers		
 Mr Trump	27	Trump		
 Natalie Bennett	27	 Natalie Bennett	remain	True
 principal	27			
